region,year ,month,date,hospital_beds,COVID_hospitals,Hospitals,COVID_Beds,Intensive_COVID_beds,ID_Beds,Infection_beds,COVID_proportion,Hospitals_involved
Разград,2020,май,15.5.2020,553,3,3,116,22,16,15,"20,98","100,0"
Русе,2020,май,15.5.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,май,15.5.2020,1167,4,8,93,27,0,48,"7,97","50,0"
Смолян,2020,май,15.5.2020,1059,4,8,163,9,9,19,"15,39","50,0"
София-град,2020,май,15.5.2020,12262,19,74,320,665,121,213,"2,61","25,7"
Шумен,2020,май,15.5.2020,762,0,5,0,28,0,20,"0,00","0,0"
Ямбол,2020,май,15.5.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,май,15.5.2020,3050,2,18,22,67,12,35,"0,72","11,1"
Кърджали,2020,май,15.5.2020,769,2,6,16,19,0,14,"2,08","33,3"
Хасково,2020,май,15.5.2020,1093,4,11,12,38,0,22,"1,10","36,4"
Благоевград,2020,март,15.3.2020,1815,5,11,50,57,10,69,"2,75","45,5"
Варна,2020,март,15.3.2020,2389,1,19,70,90,0,70,"2,93","5,3"
Велико Търново,2020,март,15.3.2020,1576,2,13,23,39,0,30,"1,46","15,4"
Видин,2020,март,15.3.2020,320,1,2,54,6,6,0,"16,88","50,0"
Враца,2020,март,15.3.2020,1201,0,12,24,40,0,10,"2,00","0,0"
Габрово,2020,март,15.3.2020,905,2,7,30,13,0,30,"3,31","28,6"
Кюстендил,2020,март,15.3.2020,1011,2,5,35,22,8,48,"3,46","40,0"
Монтана,2020,март,15.3.2020,994,4,5,62,22,5,5,"6,24","80,0"
Перник,2020,март,15.3.2020,447,3,4,0,10,0,15,"0,00","75,0"
Плевен,2020,март,15.3.2020,2053,1,14,56,105,0,40,"2,73","7,1"
Пловдив,2020,март,15.3.2020,7617,13,39,315,242,50,84,"4,14","33,3"
Разград,2020,март,15.3.2020,553,3,3,116,22,16,10,"20,98","100,0"
Русе,2020,март,15.3.2020,1850,4,10,279,54,48,20,"15,08","40,0"
Сливен,2020,март,15.3.2020,1167,2,8,46,27,0,48,"3,94","25,0"
Смолян,2020,март,15.3.2020,1059,4,8,86,9,9,13,"8,12","50,0"
София-град,2020,март,15.3.2020,12291,6,74,311,665,121,213,"2,53","8,1"
Шумен,2020,март,15.3.2020,762,0,5,0,28,0,20,"0,00","0,0"
Ямбол,2020,март,15.3.2020,452,1,4,10,23,0,10,"2,21","25,0"
Бургас,2020,март,15.3.2020,3050,2,18,22,67,12,35,"0,72","11,1"
Кърджали,2020,март,15.3.2020,769,2,6,16,19,0,14,"2,08","33,3"
Хасково,2020,март,15.3.2020,1093,1,11,12,38,0,22,"1,10","9,1"
Благоевград,2020,ноември,15.11.2020,1815,7,11,567,57,26,69,"31,24","63,6"
Варна,2020,ноември,15.11.2020,2426,8,19,468,127,45,70,"19,29","42,1"
Велико Търново,2020,ноември,15.11.2020,1576,6,13,212,41,8,129,"13,45","46,2"
Видин,2020,ноември,15.11.2020,320,2,2,91,6,2,0,"28,44","100,0"
Враца,2020,ноември,15.11.2020,1201,2,12,336,40,24,10,"27,98","16,7"
Габрово,2020,ноември,15.11.2020,905,5,7,201,13,5,52,"22,21","71,4"
Кюстендил,2020,ноември,15.11.2020,1011,3,5,195,22,12,46,"19,29","60,0"
Монтана,2020,ноември,15.11.2020,994,4,5,262,22,5,0,"26,36","80,0"
Перник,2020,ноември,15.11.2020,447,3,4,166,10,0,15,"37,14","75,0"
Плевен,2020,ноември,15.11.2020,2477,14,14,492,105,24,40,"19,86","100,0"
Пловдив,2020,ноември,15.11.2020,7617,21,39,1030,242,93,84,"13,52","53,8"
Разград,2020,ноември,15.11.2020,553,3,3,105,22,0,15,"18,99","100,0"
