region;year ;month;hospital_beds;COVID_hospitals;Hospitals;COVID_Beds;Intensive_COVID_beds;ID_Beds;Infection_beds;COVID_proportion;Hospitals_involved
Кърджали;2021;октомври;769;5;6;107;19;6;44;13,91;83,3
Кърджали;2021;ноември;769;5;6;137;19;9;44;17,82;83,3
Кърджали;2021;декември;769;5;6;89;19;9;20;11,57;83,3
Кърджали;2022;януари;769;5;6;91;19;9;20;11,83;83,3
Кърджали;2022;февруари;769;5;6;103;19;5;20;13,39;83,3
Хасково;2020;март;1093;1;11;12;38;0;22;1,1;9,1
Хасково;2020;април;1093;2;11;12;38;0;22;1,1;18,2
Хасково;2020;май;1093;4;11;12;38;0;22;1,1;36,4
Хасково;2020;юни;1093;4;11;12;38;0;22;1,1;36,4
Хасково;2020;юли;1093;5;11;12;38;0;22;1,1;45,5
Хасково;2020;август;1093;6;11;27;38;0;22;2,47;54,5
Хасково;2020;септември;1093;6;11;27;38;0;22;2,47;54,5
Хасково;2020;октомври;1093;7;11;46;38;0;22;4,21;63,6
Хасково;2020;ноември;1093;8;11;163;38;10;22;14,91;72,7
Хасково;2020;декември;1093;8;11;285;38;30;22;26,08;72,7
Хасково;2021;януари;1093;8;11;324;38;26;22;29,64;72,7
Хасково;2021;февруари;1093;9;11;316;38;26;22;28,91;81,8
Хасково;2021;март;1093;9;11;224;38;26;22;20,49;81,8
Хасково;2021;април;1093;9;11;351;38;26;22;32,11;81,8
Хасково;2021;май;1093;9;11;179;38;19;22;16,38;81,8
Хасково;2021;юни;1093;9;11;95;38;8;22;8,69;81,8
Хасково;2021;юли;1093;9;11;78;38;6;22;7,14;81,8
Хасково;2021;август;1093;9;11;173;38;13;22;15,83;81,8
Хасково;2021;септември;1093;9;11;235;38;23;22;21,5;81,8
Хасково;2021;октомври;1093;9;11;264;38;28;22;24,15;81,8
Хасково;2021;ноември;1093;9;11;279;38;30;22;25,53;81,8
Хасково;2021;декември;1093;8;11;279;38;30;22;25,53;72,7
Хасково;2022;януари;1093;8;11;279;38;30;22;25,53;72,7
Хасково;2022;февруари;1093;8;11;283;38;34;22;25,89;72,7
