epidday,Date,PCR_Total,Rapid_total,Rapid_positive,pcr_positive,test_total,positive_total,hospitalised,intensive_cases,deaths,14days_cases,14_days_deaths,incidence,case_fatality_ratio,vaccinated,admited_all,admited_vacc,addmitet_non_vax,death_vaccinated,death_non_vax
485,05.7.2021,541,3359,19,0,3900,19,1245,152,0,1021,94,"14,7616990441","1,3590594615",,,,,,
486,06.7.2021,2974,16633,71,27,19607,98,1134,123,41,999,125,"14,4436212978","1,8072599221",,,,,,
487,07.7.2021,3181,10993,52,35,14174,87,961,111,2,992,119,"14,3424147422","1,7205114459",,,,,,
488,08.7.2021,2269,9989,33,27,12258,60,959,113,2,959,116,"13,8652981227","1,6771372078",,,,,,
489,09.7.2021,2691,9874,30,25,12565,55,895,108,5,952,112,"13,7640915671","1,6193048902",,,,,,
490,10.7.2021,3348,12020,38,23,15368,61,824,105,4,927,112,"13,4026395826","1,6193048902",,,,,,
491,11.7.2021,2735,8377,20,12,11112,32,822,104,2,931,113,"13,4604719001","1,6337629696",,,,,,
492,12.7.2021,1156,4833,14,2,5989,16,826,104,0,931,113,"13,4604719001","1,6337629696",,,,,,
493,13.7.2021,2214,12509,61,22,14723,83,746,95,4,899,104,"12,9978133601","1,5036402552",,,,,,
494,14.7.2021,3003,14784,47,27,17787,74,738,94,10,868,105,"12,5496128994","1,5180983346",,,,,,
495,15.7.2021,2453,11515,52,32,13968,84,727,94,4,874,97,"12,6363613756","1,4024336996",,,,,,
496,16.7.2021,2483,11333,47,47,13816,94,741,93,5,895,96,"12,9399810426","1,3879756202",,,,,,
497,17.7.2021,3146,12976,53,23,16122,76,736,91,6,890,86,"12,8676906457","1,2433948264",,,,,,
498,18.7.2021,2512,8189,36,21,10701,57,741,91,0,896,85,"12,9544391219","1,2289367471",,,,,,
499,19.7.2021,876,5060,26,9,5936,35,744,88,5,912,90,"13,185768392","1,3012271439",,,,,,
500,20.7.2021,3113,15070,74,39,18183,113,739,88,3,927,52,"13,4026395826","0,7518201276",,,,,,
501,21.7.2021,3685,12268,77,68,15953,145,722,82,7,985,57,"14,2412081865","0,8241105245",,,,,,
502,22.7.2021,3579,11094,58,38,14673,96,726,80,3,1021,58,"14,7616990441","0,8385686039",,,,,,
503,23.7.2021,4287,11555,56,65,15842,121,742,81,2,1087,55,"15,715932283","0,7951943657",,,,,,
504,24.7.2021,4720,13699,69,66,18419,135,706,75,4,1161,55,"16,7858301569","0,7951943657",,,,,,
505,25.7.2021,2707,6695,29,25,9402,54,711,77,0,1183,53,"17,1039079032","0,766278207",,,,,,
506,26.7.2021,2014,6636,32,25,8650,57,716,77,1,1224,54,"17,6966891577","0,7807362864",,,,,,
507,27.7.2021,4651,16259,102,91,20910,193,729,73,5,1334,55,"19,2870778891","0,7951943657",,,,,,
508,28.7.2021,4420,11221,99,101,15641,200,755,77,4,1460,49,"21,1087958907","0,7084458895",,,,,,
509,29.7.2021,4430,11319,99,117,15749,216,754,79,2,1592,47,"23,0172623685","0,6795297307",,,,,,
510,30.7.2021,4401,10691,121,110,15092,231,764,79,3,1729,45,"24,9980192431","0,650613572",,,,,,
511,31.7.2021,5798,17191,180,166,22989,346,797,75,3,1999,42,"28,901700675","0,6072393338",,,,,,
512,01.8.2021,4329,8547,94,88,12876,182,805,78,2,2124,44,"30,7089605971","0,6361554926",,,,,,
513,02.8.2021,1886,4805,59,35,6691,94,810,81,2,2183,41,"31,5619872804","0,5927812545",,,,,,
514,03.8.2021,5143,18228,266,127,23371,393,851,82,7,2463,45,"35,610249506","0,650613572",,,,,,
515,04.8.2021,4951,11705,228,234,16656,462,914,86,3,2780,41,"40,1934606685","0,5927812545",,,,,,
516,05.8.2021,5553,15315,221,208,20868,429,955,90,4,3113,42,"45,0080011011","0,6072393338",,,,,,
517,06.8.2021,5283,13369,253,247,18652,500,935,89,14,3492,54,"50,4876131851","0,7807362864",,,,,,
518,07.8.2021,5013,11952,268,281,16965,549,987,91,8,3906,58,"56,4732580472","0,8385686039",,,,,,
519,08.8.2021,4955,12514,206,186,17469,392,1013,98,1,4244,59,"61,3600888767","0,8530266833",,,,,,
520,09.8.2021,1510,4926,128,48,6436,176,1059,99,3,4363,61,"63,0806003226","0,881942842",,,,,,
521,10.8.2021,5294,17989,522,252,23283,774,1140,94,23,4944,79,"71,4807444407","1,1421882708",,,,,,
522,11.8.2021,5089,13467,407,398,18556,805,1207,101,10,5549,85,"80,2278824639","1,2289367471",,,,,,
523,12.8.2021,5272,12894,395,387,18166,782,1222,108,18,6115,101,"88,4111553914","1,4602660171",,,,,,
524,13.8.2021,5154,13579,468,414,18733,882,1264,106,15,6766,113,"97,8233650659","1,6337629696",,,,,,
525,14.8.2021,6086,16893,602,445,22979,1047,1404,124,11,7467,121,"107,9584787093","1,7494276046",,,,,,
526,15.8.2021,4554,9207,325,298,13761,623,1490,131,7,7908,126,"114,3344917147","1,8217180015",,,,,,
527,16.8.2021,1678,4680,209,63,6358,272,1548,141,5,8086,129,"116,9080298438","1,8650922397",,,,,,
528,17.8.2021,6212,23478,846,455,29690,1301,1658,145,32,8994,154,"130,0359659183","2,2265442241",,,,,,
529,18.8.2021,5867,16039,732,673,21906,1405,1832,160,19,9937,170,"143,6699347709","2,4578734941",,,,,,
530,19.8.2021,6018,14054,752,635,20072,1387,2001,174,16,10895,182,"157,5207748143","2,6313704466",,,,,,
531,20.8.2021,6102,14850,730,641,20952,1371,2161,194,27,11766,195,"170,1137619518","2,8193254785",,,,,,
532,21.8.2021,7051,19676,747,621,26727,1368,2313,193,21,12585,208,"181,9549289617","3,0072805105",,,,,,
533,22.8.2021,4986,10178,397,448,15164,845,2410,197,8,13038,215,"188,5044389195","3,1084870661",,,,,,
534,23.8.2021,1568,4934,291,93,6502,384,2452,202,8,13246,220,"191,51171943","3,180777463",,,,,,
535,24.8.2021,7305,22224,1220,671,29529,1891,2702,223,57,14363,254,"207,6613940943","3,6723521618",,,,,,
536,25.8.2021,7157,16851,853,1058,24008,1911,2873,248,33,15469,277,"223,6520298854","4,0048879875",,,,,,
537,26.8.2021,6646,15834,772,829,22480,1601,2985,262,48,16288,307,"235,4931968953","4,4386303688",,,,,,
538,27.8.2021,6901,16397,861,872,23298,1733,3163,279,34,17139,326,"247,7970224453","4,713333877",,,,,,
539,28.8.2021,7801,20559,902,811,28360,1713,3255,298,43,17805,358,"257,4261033105","5,175992417",,,,,,
540,29.8.2021,6263,10738,498,506,17001,1004,3369,297,15,18186,366,"262,9346315532","5,291657052",,,,,,
541,30.8.2021,2256,5439,370,81,7695,451,3451,298,26,18365,387,"265,5226277617","5,595276719",,,,,,
542,31.8.2021,8666,23404,1422,668,32070,2090,3594,301,109,19154,464,"276,9300523903","6,708548831",,,,,,
543,01.9.2021,9004,17627,889,1164,26631,2053,3738,324,56,19802,501,"286,2988878267","7,243497768",,,,,,
544,02.9.2021,8341,16495,845,900,24836,1745,3872,332,54,20160,539,"291,4748802437","7,7929047843",,,,,,
545,03.9.2021,8266,17533,787,777,25799,1564,3985,333,51,20353,563,"294,2652895635","8,1398986893",,,,,,
546,04.9.2021,9675,20336,864,776,30011,1640,4070,334,50,20625,592,"298,1978871541","8,5591829913",,,,,,
547,05.9.2021,5994,7392,405,449,13386,854,4114,338,32,20634,616,"298,3280098685","8,9061768963",,,,,,
548,06.9.2021,3523,8628,389,99,12151,488,4161,332,32,20738,640,"299,8316501237","9,2531708014",,,,,,
549,07.9.2021,3343,9191,542,135,12534,677,4284,339,34,19524,617,"282,2795417598","8,9206349757",,,,,,
550,08.9.2021,7475,19649,1359,646,27124,2005,4307,329,121,19618,705,"283,6386012213","10,1929459609",,,,,,
551,09.9.2021,8086,16056,924,1032,24142,1956,4419,363,65,19973,722,"288,7712194002","10,4387333103",,,,,,
552,10.9.2021,7362,17037,833,796,24399,1629,4500,378,52,19869,740,"287,267579145","10,6989787391",,,,,,
553,11.9.2021,7490,18871,876,750,26361,1626,4448,377,72,19782,769,"286,0097262392","11,118263041",,,,,,
554,12.9.2021,5282,8745,466,443,14027,909,4572,380,10,19687,764,"284,6362086983","11,0459726442",,,,,,
555,13.9.2021,1854,5470,344,93,7324,437,4609,373,53,19673,791,"284,433795587","11,4363407873",,,,,,
556,14.9.2021,5804,18983,1303,695,24787,1998,4587,370,139,19581,821,"283,1036522843","11,8700831687",,,,,,
557,15.9.2021,6521,14930,881,1148,21451,2029,4584,386,83,19557,848,"282,7566583793","12,2604513118",,,,,,
558,16.9.2021,6297,18448,935,927,24745,1862,4582,396,65,19674,859,"284,4482536664","12,419490185",,,,,,
559,17.9.2021,5861,15306,914,810,21167,1724,4627,396,67,19834,875,"286,7615463668","12,650819455",,,,,,
560,18.9.2021,6581,18608,994,898,25189,1892,4649,395,79,20086,904,"290,4049823698","13,070103757",,,,,,
561,19.9.2021,4601,7847,465,486,12448,951,4703,396,30,20183,902,"291,8074160694","13,0411875982",,,,,,
562,20.9.2021,1180,3560,373,85,4740,458,4750,391,43,20153,913,"291,3736736881","13,2002264714",,,,,,
563,21.9.2021,5571,19148,1574,786,24719,2360,4879,388,138,21836,1017,"315,7066212799","14,7038667266",,,,,,
564,22.9.2021,6937,15339,1074,1118,22276,2192,4935,405,58,22023,954,"318,4102821234","13,7930077258",,,,,,
565,23.9.2021,3199,5887,400,450,9086,850,4959,405,27,20917,916,"302,4196463322","13,2436007095",,,,,,
566,24.9.2021,5086,15910,1237,598,20996,1835,4949,414,99,21123,963,"305,3980106839","13,9231304402",,,,,,
567,25.9.2021,6397,17878,995,909,24275,1904,4969,416,73,21401,964,"309,4173567508","13,9375885196",213,635,50,585,1,72
568,26.9.2021,3914,6961,506,532,10875,1038,5040,418,26,21530,980,"311,2824489905","14,1689177896",126,229,20,209,0,26
569,27.9.2021,1421,4581,406,90,6002,496,5078,418,40,21589,967,"312,1354756737","13,9809627577",57,165,14,151,4,36
570,28.9.2021,5701,18331,1728,808,24032,2536,5048,432,149,22127,977,"319,9139223786","14,1255435515",285,960,63,897,10,139
571,29.9.2021,6832,15501,1191,1382,22333,2573,5152,449,87,22671,981,"327,7791175598","14,183375869",333,677,55,622,3,84
572,30.9.2021,5932,13305,1086,1056,19237,2142,5172,458,87,22951,1003,"331,8273797854","14,5014536153",288,548,46,502,9,78
573,01.10.2021,6217,14861,1041,1009,21078,2050,5201,462,70,23277,1006,"336,5407136624","14,5448278534",300,525,50,475,5,65
574,02.10.2021,6673,15667,1049,1042,22340,2091,5182,463,87,23476,1014,"339,4178714584","14,6604924884",271,551,49,502,3,84
575,03.10.2021,4307,7198,551,677,11505,1228,5217,465,26,23753,1010,"343,4227594459","14,6026601709",183,133,13,120,2,24
576,04.10.2021,1016,3587,418,95,4603,513,5248,462,43,23808,1010,"344,2179538116","14,6026601709",64,183,23,160,3,40
577,05.10.2021,5410,15310,1797,1009,20720,2806,5204,445,178,24254,1050,"350,6662572139","15,180983346",377,947,84,863,7,171
578,06.10.2021,7406,17759,1387,1479,25165,2866,5223,460,104,24928,1096,"360,4110027141","15,8460549974",361,686,59,627,4,100
579,07.10.2021,6003,12373,1232,1310,18376,2542,5312,455,91,26620,1160,"384,8740730202","16,7713720775",340,657,63,594,6,85
580,08.10.2021,5209,13599,1158,1144,18808,2302,5374,463,94,27087,1155,"391,6259960894","16,6990816806",344,636,73,563,10,84
581,09.10.2021,7105,14670,1212,1273,21775,2485,5453,462,81,27668,1163,"400,0261402075","16,8147463156",343,639,72,567,4,77
582,10.10.2021,4205,6218,540,706,10423,1246,5489,469,30,27876,1167,"403,033420718","16,8725786332",181,174,18,156,2,28
583,11.10.2021,1197,4539,522,99,5736,621,5503,470,40,28001,1167,"404,8406806401","16,8725786332",103,187,20,167,2,38
584,12.10.2021,5329,18151,2300,1171,23480,3471,5505,472,157,28936,1175,"418,3589848578","16,9882432682",540,907,85,822,11,146
585,13.10.2021,6865,11116,1476,1993,17981,3469,5646,485,93,29832,1181,"431,3134239797","17,0749917444",430,787,67,720,8,85
586,14.10.2021,6615,12444,1591,1736,19059,3327,5707,487,98,31017,1192,"448,4462480417","17,2340306176",441,723,75,648,4,94
587,15.10.2021,6326,12399,1492,1691,18725,3183,5867,493,98,32150,1220,"464,827251976","17,6388568401",469,721,71,650,6,92
588,16.10.2021,7996,16734,1687,1753,24730,3440,5936,509,86,33499,1219,"484,3312010558","17,6243987608",493,740,68,672,7,79
589,17.10.2021,4924,6887,789,1087,11811,1867,6035,512,43,34138,1236,"493,5699137778","17,8701861102",270,262,26,236,4,39
590,18.10.2021,1234,4449,760,240,5683,1000,6074,512,43,34625,1236,"500,6109984345","17,8701861102",134,167,19,148,2,41
591,19.10.2021,6596,20184,3179,1800,26780,4979,6258,537,214,36798,1272,"532,0284049211","18,3906769678",785,1251,135,1116,12,202
592,20.10.2021,8992,13272,2006,2951,22264,4957,6377,558,124,38889,1292,"562,2602488987","18,6798385553",748,895,93,802,6,118
593,21.10.2021,7434,17606,2032,2490,25040,4522,6494,567,107,40869,1308,"590,8872460655","18,9111678253",651,714,94,620,7,100
594,22.10.2021,9076,38294,2025,2791,47370,4816,6608,590,120,43383,1334,"627,2348576197","19,2870778891",598,814,82,732,9,111
595,23.10.2021,8882,21890,1986,2840,30772,4826,6685,595,136,45724,1389,"661,0812214417","20,0822722549",611,768,100,668,10,126
596,24.10.2021,6594,18729,1436,1918,25323,3354,6792,602,58,47832,1417,"691,5588527688","20,4870984774",409,349,45,304,3,55
597,25.10.2021,1745,8809,968,402,10554,1370,6912,600,40,48581,1417,"702,3879542223","20,4870984774",178,299,32,267,1,39
598,26.10.2021,6872,44816,3792,2071,51688,5863,7128,608,243,50973,1503,"736,9716800924","21,7304933039",787,1379,128,1251,9,234
599,27.10.2021,11067,39289,3081,3735,50356,6816,7325,608,124,54320,1534,"785,3628717678","22,1786937646",849,1107,123,984,7,117
600,28.10.2021,9375,32238,2612,3031,41613,5643,7373,607,154,56636,1590,"818,8477836053","22,9883462097",734,902,92,810,10,144
601,29.10.2021,8408,40892,2710,2468,49300,5178,7553,656,124,58631,1616,"847,6916519628","23,3642562735",652,897,80,817,8,116
602,30.10.2021,8503,44797,2783,2473,53300,5256,7680,676,154,60447,1684,"873,9475241117","24,3474056712",683,939,111,828,12,142
603,31.10.2021,6201,26387,1392,1444,32588,2836,7880,685,46,61416,1687,"887,9574030282","24,3907799093",385,417,54,363,4,42
604,01.11.2021,1613,15355,1124,333,16968,1457,7973,680,81,61873,1725,"894,5647453036","24,9401869256",182,332,27,305,6,75
605,02.11.2021,7035,42827,3997,2010,49862,6007,8030,669,310,62901,1821,"909,4276509033","26,3281625458",817,1341,132,1209,19,291
606,03.11.2021,9795,35019,2745,3118,44814,5863,8149,696,145,63807,1842,"922,526670819","26,6317822127",791,999,100,899,13,132
607,04.11.2021,7494,32463,2582,2340,39957,4922,8191,715,135,64207,1870,"928,3099025699","27,0366084353",689,954,99,855,9,126
608,05.11.2021,8100,31233,2502,2160,39333,4662,8372,710,166,64053,1916,"926,0833583458","27,7016800867",648,996,108,888,16,150
609,06.11.2021,8187,31899,2331,2403,40086,4734,8262,724,185,63961,1965,"924,7532150431","28,4101259761",715,910,93,817,13,172
610,07.11.2021,5142,41246,1641,1185,46388,2826,8370,732,65,63433,1972,"917,119349132","28,5113325318",385,359,38,321,1,64
611,08.11.2021,1777,14849,990,266,16626,1256,8491,732,69,63319,2001,"915,471128083","28,9306168337",176,303,31,272,7,62
612,09.11.2021,6620,41516,3563,1723,48136,5286,8516,723,334,62742,2092,"907,1288162823","30,246302057",756,1411,154,1257,19,315
613,10.11.2021,8305,28241,2336,2619,36546,4955,8526,747,147,60881,2115,"880,2223305614","30,5788378827",731,1014,95,919,6,141
614,11.11.2021,7022,32209,1944,1909,39231,3853,8398,760,199,59091,2160,"854,3423684763","31,2294514547",586,872,81,791,15,184
615,12.11.2021,6039,26774,1694,1513,32813,3207,8329,755,196,57120,2232,"825,8454940239","32,2704331698",485,780,79,701,6,190
616,13.11.2021,6013,35356,1768,1378,41369,3146,8156,751,175,55010,2253,"795,3389465381","32,5740528368",478,855,99,756,9,166
617,14.11.2021,3832,19454,810,800,23286,1610,8178,745,66,53784,2273,"777,6133412217","32,8632144243",263,287,40,247,6,60
618,15.11.2021,1329,12875,648,180,14204,828,8228,752,88,53155,2280,"768,5192092934","32,9644209799",19,293,37,256,2,86
619,16.11.2021,4865,27189,2154,1069,32054,3223,7924,725,276,50371,2246,"728,2679163074","32,4728462811",545,1061,116,945,9,267
620,17.11.2021,7127,34115,2105,1764,41242,3869,7737,767,121,48377,2222,"699,4385060293","32,1258523761",581,779,90,689,12,109
621,18.11.2021,5146,26537,1569,1270,31683,2839,7544,761,164,46294,2251,"669,3223266867","32,545136678",464,770,76,694,13,151
622,19.11.2021,5605,25713,1682,1103,31318,2785,7414,775,145,44417,2230,"642,1845116957","32,2415170111",475,734,87,647,13,132
623,20.11.2021,5683,38620,1556,1181,44303,2737,7276,767,139,42420,2184,"613,3117271795","31,5764453597",486,783,97,686,9,130
624,21.11.2021,4001,18553,765,690,22554,1455,7332,759,56,41049,2175,"593,4897003534","31,4463226453",232,262,23,239,4,52
625,22.11.2021,1298,12638,580,153,13936,733,7357,760,73,40526,2179,"585,9281248392","31,5041549629",108,223,29,194,6,67
626,23.11.2021,4731,32862,2455,1007,37593,3462,7168,775,254,38702,2099,"559,5565880552","30,3475086127",647,1004,120,884,19,235
627,24.11.2021,6731,27072,1669,1564,33803,3233,7001,777,151,36980,2103,"534,6597753677","30,4053409302",577,734,82,652,9,142
628,25.11.2021,6365,23138,1360,1209,29503,2569,6846,797,120,35696,2024,"516,0956014474","29,2631526594",511,687,84,603,6,114
629,26.11.2021,5440,25297,1355,1015,30737,2370,6758,787,113,34859,1941,"503,9941890087","28,0631320711",478,609,98,511,12,101
630,27.11.2021,6721,33909,1397,1091,40630,2488,6606,779,105,34201,1871,"494,4807727786","27,0510665147",464,599,81,518,9,96
631,28.11.2021,4890,20130,650,568,25020,1218,6674,783,47,33809,1852,"488,8132056627","26,7763630065",218,217,36,181,4,43
632,29.11.2021,2370,11848,578,150,14218,728,6707,756,58,33709,1822,"487,367397725","26,3426206252",125,201,18,183,4,54
633,30.11.2021,6471,30088,2092,928,36559,3020,6526,723,224,33506,1770,"484,4324076114","25,5908004976",522,946,119,827,19,205
634,01.12.2021,6669,20195,1373,1308,26864,2681,6470,717,128,32318,1777,"467,2562093114","25,6920070532",511,724,106,618,14,114
635,02.12.2021,5357,22580,1093,1012,27937,2105,6302,694,89,31584,1702,"456,6439790485","24,6076510999",423,526,70,456,12,77
636,03.12.2021,5071,22601,1167,851,27672,2018,6225,702,114,30817,1671,"445,5546321662","24,1594506392",367,514,50,464,8,106
637,04.12.2021,5397,31378,1244,1045,36775,2289,6035,684,113,30369,1645,"439,0774126052","23,7835405754",436,552,70,482,14,99
638,05.12.2021,2977,16339,495,490,19316,985,6082,677,36,29899,1625,"432,282115298","23,4943789879",193,203,27,176,5,31
639,06.12.2021,1487,14873,572,134,16360,706,6130,674,47,29872,1599,"431,8917471548","23,1184689241",132,165,26,139,0,47
640,07.12.2021,3895,31109,1682,744,35004,2426,5780,624,208,28836,1553,"416,91317692","22,4533972727",456,740,104,636,13,195
641,08.12.2021,4984,22710,1157,1142,27694,2299,5702,627,103,27902,1505,"403,4093307818","21,7594094626",416,650,92,558,3,100
642,09.12.2021,3891,21000,843,809,24891,1652,5551,631,116,26985,1501,"390,1512719929","21,7015771451",294,474,72,402,11,105
643,10.12.2021,4572,31569,1049,778,36141,1827,5411,643,103,26442,1491,"382,3005348911","21,5569963514",355,443,54,389,5,98
644,11.12.2021,4587,33544,1063,656,38131,1719,5242,628,77,25673,1463,"371,1822718501","21,1521701288",333,494,79,415,6,71
645,12.12.2021,3124,23703,616,457,26827,1073,5284,627,27,25528,1443,"369,0858503404","20,8630085413",203,145,16,129,4,23
646,13.12.2021,1195,11576,412,120,12771,532,5316,629,50,25332,1435,"366,2520667824","20,7473439062",91,173,14,159,3,47
647,14.12.2021,3338,23814,1356,603,27152,1959,5114,606,152,24271,1363,"350,9120445633","19,7063621911",334,705,79,626,11,141
648,15.12.2021,5075,23735,1065,939,28810,2004,4961,587,76,23594,1311,"341,1239248249","18,9545420635",377,453,74,379,9,67
649,16.12.2021,4153,29108,1025,700,33261,1725,4869,560,83,23214,1305,"335,6298546616","18,8677935872",320,438,73,365,3,80
650,17.12.2021,4438,31391,793,650,35829,1443,4791,551,86,22639,1277,"327,3164590197","18,4629673646",265,376,64,312,11,75
651,18.12.2021,5128,40797,950,664,45925,1614,4511,537,81,21964,1245,"317,5572554401","18,0003088246",319,406,48,358,5,76
652,19.12.2021,3542,23202,506,398,26744,904,4575,532,33,21883,1242,"316,3861510106","17,9569345864",173,170,15,155,2,31
653,20.12.2021,1402,14235,350,106,15637,456,4613,527,35,21633,1230,"312,7716311663","17,7834376339",89,139,17,122,8,27
654,21.12.2021,4045,32657,1441,560,36702,2001,4452,506,157,21208,1179,"306,626947431","17,0460755857",400,630,82,548,9,148
655,22.12.2021,5061,30748,987,896,35809,1883,4300,493,64,20792,1140,"300,6123864101","16,48221049",386,424,63,361,9,55
656,23.12.2021,4361,21637,817,646,25998,1463,4241,493,56,20603,1080,"297,8798094078","15,6147257273",329,410,59,351,3,53
657,24.12.2021,5056,29540,1200,766,34596,1966,4104,479,77,20742,1054,"299,8894824412","15,2388156635",422,399,52,347,5,72
658,25.12.2021,3211,21132,582,451,24343,1033,4047,467,40,20056,1017,"289,9712399885","14,7038667266",244,146,16,130,6,34
659,26.12.2021,2122,9991,566,177,12113,743,4023,451,52,19726,1042,"285,200073794","15,065318711",146,122,7,115,2,50
660,27.12.2021,2111,13342,714,124,15453,838,4073,456,46,20032,1038,"289,6242460835","15,0074863935",180,307,43,264,4,42
661,28.12.2021,2890,19712,1079,199,22602,1278,4090,464,49,19351,935,"279,7782940276","13,5183042177",249,266,34,232,2,47
662,29.12.2021,2580,20042,1035,200,22622,1235,4142,481,34,18582,893,"268,6600309866","12,9110648838",262,253,41,212,5,29
663,30.12.2021,4443,32006,2487,962,36449,3449,4071,462,162,20306,972,"293,5857598328","14,0532531546",709,761,111,650,12,150
664,31.12.2021,5978,27356,1994,1622,33334,3616,4100,467,71,22479,957,"325,0031663194","13,836381964",875,550,71,479,5,66
665,01.1.2022,5254,25699,1609,1201,30953,2810,4022,457,65,23675,941,"342,2950292545","13,6050526939",701,385,59,326,4,61
666,02.1.2022,1817,5612,653,423,7429,1076,4059,449,28,23847,936,"344,7818189074","13,532762297",268,144,23,121,1,27
667,03.1.2022,1850,11005,1145,211,12855,1356,4168,450,44,24747,945,"357,7940903468","13,6628850114",331,233,34,199,4,40
668,04.1.2022,2943,14465,1575,343,17408,1918,4306,455,53,24664,841,"356,5940697585","12,1592447562",506,315,63,252,2,51
669,05.1.2022,7518,35310,4346,1906,42828,6252,4477,468,157,29033,934,"419,7614185574","13,5038461383",1667,887,153,734,15,142
670,06.1.2022,12160,39880,3406,3360,52040,6766,4608,493,66,34336,944,"496,4326134945","13,648426932",1923,672,98,574,4,62
671,07.1.2022,10907,27520,2655,2870,38427,5525,4790,509,72,37895,939,"547,8889179978","13,5761365352",1579,603,103,500,2,70
672,08.1.2022,11867,32795,2850,2674,44662,5524,4926,522,96,42386,995,"612,8201524807","14,3857889803",1435,644,106,538,7,89
673,09.1.2022,7608,19224,1601,1575,26832,3176,5009,517,45,44819,988,"647,9966596053","14,2845824246",843,226,38,188,0,45
674,10.1.2022,2170,11397,1284,432,13567,1716,5056,512,40,45697,982,"660,6908532985","14,1978339484",463,181,27,154,7,33
675,11.1.2022,8459,33524,4512,2249,41983,6761,5219,570,116,51180,1049,"739,9645025235","15,1665252667",1646,861,134,727,6,110
676,12.1.2022,12773,25179,3247,3815,37952,7062,5240,580,89,57007,1104,"824,2117310543","15,9617196324",1855,627,103,524,7,82
677,13.1.2022,9462,20351,2646,3057,29813,5703,5257,579,77,59261,1019,"856,8002419704","14,7327828853",1559,553,103,450,6,71
678,14.1.2022,10956,28634,3803,3231,39590,7034,5297,579,84,62679,1032,"906,2179572816","14,9207379172",1786,552,96,456,4,80
679,15.1.2022,11221,29863,3653,3210,41084,6863,5190,578,80,66732,1047,"964,8165529972","15,1376091079",1631,554,126,428,8,72
680,16.1.2022,8429,18742,2046,2343,27171,4389,5237,568,40,70045,1059,"1012,7161699738","15,3111060604",1052,202,34,168,2,38
681,17.1.2022,2719,12316,1763,616,15035,2379,5267,557,44,71068,1059,"1027,5067851767","15,3111060604",540,177,29,148,3,41
682,18.1.2022,8789,35983,6735,3261,44772,9996,5223,541,161,79146,1167,"1144,2991503854","16,8725786332",2121,829,144,685,13,148
683,19.1.2022,16416,29540,5109,6072,45956,11181,5259,554,91,84075,1101,"1215,5630236355","15,9183453943",2455,660,103,557,7,84
684,20.1.2022,14020,27413,4607,5553,41433,10160,5208,542,93,87469,1128,"1264,6337450416","16,3087135374",2289,572,95,477,5,88
685,21.1.2022,13395,26050,3979,4953,39445,8932,5198,530,87,90876,1143,"1313,8924214796","16,5255847281",2033,529,98,431,9,78
686,22.1.2022,12940,30939,4819,5055,43879,9874,5164,547,86,95226,1133,"1376,7850667703","16,3810039343",2155,615,97,518,5,81
687,23.1.2022,9631,16910,2962,3668,26541,6630,5216,547,32,98680,1120,"1426,7232729391","16,1930489024",1490,258,46,212,6,26
688,24.1.2022,2697,10571,2010,837,13268,2847,5309,550,28,99811,1108,"1443,0753607146","16,0195519499",661,207,33,174,0,28
689,25.1.2022,9299,36586,7587,3462,45885,11049,5327,517,132,104099,1124,"1505,0716050839","16,2508812199",2410,949,146,803,12,120
690,26.1.2022,17758,26223,5179,7220,43981,12399,5347,523,73,109436,1108,"1582,2343747199","16,0195519499",2950,692,118,574,12,61
691,27.1.2022,13008,24579,4494,5422,37587,9916,5372,519,70,113649,1101,"1643,1462631359","15,9183453943",2342,624,102,522,10,60
692,28.1.2022,13229,24716,4717,5157,37945,9874,5455,520,78,116489,1095,"1684,2072085671","15,831596918",2300,691,91,600,8,70
693,29.1.2022,13795,28172,4896,4975,41967,9871,5526,509,71,119497,1086,"1727,6971113336","15,7014742036",2303,781,149,632,8,63
694,30.1.2022,8933,14496,2503,3372,23429,5875,5684,513,33,120983,1079,"1749,1818172881","15,600267648",1404,336,61,275,0,33
695,31.1.2022,2634,12427,1859,743,15061,2602,5730,506,39,121206,1074,"1752,4059689892","15,5279772511",576,210,30,180,3,36
696,01.2.2022,8955,33291,6893,3258,42246,10151,5705,506,158,121361,1071,"1754,6469712926","15,4846030129",2280,1015,121,894,19,139
697,02.2.2022,14518,26345,4803,6340,40863,11143,5799,533,87,121323,1067,"1754,0975642763","15,4267706954",2655,841,123,718,15,72
698,03.2.2022,12242,22798,4094,5058,35040,9152,5917,565,87,120315,1061,"1739,5238202641","15,3400222192",2247,797,123,674,12,75
699,04.2.2022,10919,26087,3864,4278,37006,8142,6124,568,96,119525,1070,"1728,1019375561","15,4701449336",1987,863,126,737,11,85
700,05.2.2022,10809,29926,4080,4036,40735,8116,6156,586,100,117767,1084,"1702,6846340111","15,6725580449",1982,886,135,751,10,90
701,06.2.2022,7016,14235,1987,2750,21251,4737,6212,585,40,115874,1092,"1675,3154897501","15,7882226799",1133,311,47,264,4,36
702,07.2.2022,2056,10782,1645,536,12838,2181,6238,593,42,115208,1106,"1665,6864088849","15,9906357911",506,215,24,191,3,39
703,08.2.2022,7008,30501,5548,2464,37509,8012,6256,623,176,112171,1150,"1621,7772218164","16,6267912837",1948,1145,148,997,17,159
704,09.2.2022,11529,21445,3471,4669,32974,8140,6274,625,98,107912,1175,"1560,2002617491","16,9882432682",2012,892,153,739,8,90
